# T20 §3 gateway-kill disconnect/reconnect probe — G-GEAR localhost
# started=2026-04-19T21:22:44+09:00 host=mikoto-g-gear branch=chore/t20-disconnect-reconnect-evidence commit=d52ee8c
# RECONNECT_DELAY=2.0s (godot_project/scripts/WebSocketClient.gd)
# plan: T+0 probe start, T+5 gateway kill, T+20 gateway restart, T+70 probe end
# format: HH:MM:SS <raw_json_or_(empty)>
21:22:44 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:45 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:47 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:48 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:49 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:51 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:52 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:53 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:54 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:56 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:57 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:22:58 (empty)
21:23:00 (empty)
21:23:02 (empty)
21:23:04 (empty)
21:23:07 (empty)
21:23:09 (empty)
21:23:11 (empty)
21:23:13 (empty)
21:23:15 (empty)
21:23:17 (empty)
21:23:19 (empty)
21:23:21 (empty)
21:23:23 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":0}
21:23:25 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":0}
21:23:26 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":0}
21:23:27 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":0}
21:23:29 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":0}
21:23:30 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":0}
21:23:31 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":0}
21:23:33 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:34 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:35 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:36 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:38 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:39 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:40 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:41 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:43 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:44 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:45 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:47 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:48 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:49 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:50 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:52 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:53 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:54 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:55 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:57 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:58 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:23:59 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:01 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:02 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:03 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:04 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:06 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:07 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:08 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:10 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:11 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:12 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:13 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:15 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:16 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:17 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:18 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:20 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:21 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
21:24:22 {"schema_version":"0.1.0-m2","status":"ok","active_sessions":1}
# ended=2026-04-19T21:24:24+09:00
